name,n,wr,avg,pf,comp,mdd
P24_sweet_tight|b40|rk_score|tp4,52,38.46153846153846,-0.08358076923076926,0.9282094482986455,-5.980026334660849,-22.697326560352813
P09_a2_loose|b0|rk_volr|tp35,106,49.056603773584904,-0.12505471698113207,0.9122151053752504,-16.954407717933297,-32.418618979344025
P14_clv55|b0|rk_score|tp35,109,48.62385321100918,-0.12442477064220182,0.9092299980122331,-17.12536046272112,-47.38319082975995
P03_tight2|b35|rk_volr|tp35,65,52.30769230769231,-0.15075230769230766,0.9075469935719077,-12.93890379155328,-25.943508713775266
P01_tail_near|b0|rk_score|tp3,94,51.06382978723404,-0.14435744680851062,0.8966339928030154,-16.50494845784215,-34.16743521887228
P28_mild_r1|b35|rk_volr|tp35,63,46.03174603174603,-0.12630476190476192,0.8945465629431332,-9.605805858163318,-27.29208650051177
P24_sweet_tight|b0|rk_score|tp4,95,37.89473684210526,-0.1330178947368421,0.8896209621206694,-14.83015477827674,-33.09434366199231
P27_tight_clv65|b35|rk_volr|tp35,71,47.88732394366197,-0.16063239436619714,0.8820023258316296,-13.613179134211762,-36.62151916577553
P18_ql_tight|b0|rk_score|tp3,49,59.183673469387756,-0.1530612244897959,0.8810299947177318,-9.172005340030598,-18.039862247958894
P11_ma120|b0|rk_score|tp35,97,46.391752577319586,-0.17676391752577317,0.8740780453054944,-19.69946730400246,-35.6847063911334
P12_no_ma_long|b0|rk_score|tp35,113,46.017699115044245,-0.17824867256637167,0.8730897717492253,-22.60378703674819,-49.13026873820412
P14_clv55|b0|rk_volr|tp35,109,48.62385321100918,-0.18649999999999997,0.8682344446187332,-22.597038195986197,-50.61168099609166
P24_sweet_tight|b40|rk_score|tp35,52,38.46153846153846,-0.1547269230769231,0.8670994383878428,-9.241213972398942,-24.1675827411308
P28_mild_r1|b40|rk_score|tp35,55,45.45454545454545,-0.16355636363636367,0.8634081160080477,-10.296402985568632,-23.878659166469753
