n,per_day,hit_rate,win_rate,mean_pct,median_pct,pl_ratio,front_mean_pct,back_mean_pct,both_halves_positive,spike_mean_pct,spike_median_pct,label,k
291740,214.83,77.976,43.301,-0.1606,-0.3325,1.123,-0.2842,-0.0847,False,2.2208,1.4885,ma20_bias≥3 & rsi6≤75 & range_contract≤0.8,3
496585,365.67,73.358,41.136,-0.1607,-0.4216,1.225,-0.318,-0.0284,False,2.1316,1.3253,clv≥0.7 & vol_ratio≥1 & turnover≤8,3
66909,49.27,75.48,44.027,-0.1607,-0.3814,1.105,-0.4238,-0.0138,False,2.305,1.6176,clv≥0.95 & atr_pct≥3.5 & rsi6≤60,3
862497,635.12,81.081,46.484,-0.1609,-0.26,1.025,-0.2178,-0.1134,False,2.718,1.9937,atr_pct≥5 & turnover≤8 & rsi6≤75,3
203427,149.8,76.894,44.814,-0.161,-0.3106,1.078,-0.274,-0.1072,False,2.4268,1.6324,breadth≥55 & turnover≥3 & range_contract≤0.8,3
916358,674.78,73.454,42.118,-0.1611,-0.3753,1.174,-0.292,-0.0697,False,2.0944,1.2995,clv≥0.7 & pct_chg≥0 & breadth≥45,3
595145,438.25,70.885,41.49,-0.1611,-0.3357,1.155,-0.2711,-0.099,False,1.636,1.0261,atr_pct≤3.5 & breadth≥45 & turnover≥1,3
286937,211.29,69.862,39.716,-0.1614,-0.4056,1.252,-0.3311,-0.0354,False,1.7294,1.0355,clv≥0.7 & vol_ratio≥1 & atr_pct≤3.5,3
338332,249.14,73.624,39.898,-0.1614,-0.4175,1.251,-0.275,-0.0777,False,1.8299,1.1429,atr_pct≤3.5 & ma20_bias≥3 & hhv60_pos≥0.85,3
94720,69.75,68.246,39.476,-0.1616,-0.3706,1.232,-0.2482,-0.0871,False,1.5212,0.9375,pct_chg≥-3 & vol_ratio≥1.5 & atr_pct≤2.5,3
428081,315.23,73.644,41.286,-0.1616,-0.4516,1.223,-0.2954,-0.0498,False,2.1361,1.3605,pct_chg≥2 & atr_pct≤4.5 & turnover≤15,3
315596,232.4,77.893,42.961,-0.1616,-0.3418,1.133,-0.2836,-0.0848,False,2.1707,1.4541,ma20_bias≥3 & turnover≤15 & range_contract≤0.8,3
108617,79.98,62.161,40.822,-0.1617,-0.26,1.047,-0.2052,-0.139,False,1.0396,0.7109,atr_pct≤2.5 & breadth≥55 & range_contract≤0.8,3
39781,29.29,70.783,40.55,-0.1618,-0.7156,1.328,-0.3785,0.0613,False,3.0477,1.7241,vol_ratio≥2.5 & hhv60_pos≥0.95 & turnover≤15,3
82809,60.98,77.166,43.864,-0.1622,-0.3861,1.122,-0.4196,-0.0393,False,2.5041,1.7385,clv≥0.95 & atr_pct≥3.5 & breadth≥55,3
363888,267.96,73.26,41.392,-0.1624,-0.4269,1.213,-0.275,-0.0501,False,2.0897,1.3201,vol_ratio≥1.5 & atr_pct≤4.5 & turnover≤8,3
407919,300.38,73.422,41.016,-0.1625,-0.4635,1.236,-0.3225,-0.0308,False,2.1445,1.3491,clv≥0.5 & pct_chg≥2 & atr_pct≤4.5,3
34474,25.39,75.628,44.387,-0.1626,-0.3832,1.099,-0.5414,-0.0068,False,2.4925,1.7191,clv≥0.95 & turnover≥3 & rsi6≤60,3
